Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-03-21,22.219999,23.15,22,22.41,21.124134,43433700,0
2019-03-22,22.860001,23.24,22.01,22.120001,20.850773,12359200,1
2019-03-25,22.25,22.5,21.370001,21.77,20.520855,3832300,2
2019-03-26,22.040001,22.4,21.9,22.08,20.81307,2924000,3
2019-03-27,22.32,22.719999,22.190001,22.299999,21.020445,5228100,4
2019-03-28,22.5,22.700001,22.4,22.690001,21.388065,1763000,5
2019-03-29,22.799999,23.74,22.700001,23.549999,22.198721,2413900,6
2019-04-01,23.99,24.190001,22.6,22.709999,21.406918,2587100,7
2019-04-02,22.799999,23.08,22.43,23,21.680281,1225400,8
2019-04-03,23.129999,23.18,21.700001,21.780001,20.530279,2631100,9
2019-04-04,21.85,21.99,21.379999,21.690001,20.445448,1236300,10
2019-04-05,21.780001,21.950001,21.51,21.690001,20.445448,1570700,11
2019-04-08,21.690001,21.9,21.24,21.299999,20.077822,1607800,12
2019-04-09,21.4,22.02,21.26,21.879999,20.624542,3204100,13
2019-04-10,23.23,23.9,22.719999,22.75,21.444624,10398200,14
2019-04-11,23.01,23.209999,22.75,23.030001,21.708559,2183200,15
2019-04-12,23.07,23.219999,22.32,22.450001,21.16184,1689800,16
2019-04-15,22.809999,24.17,22.66,23.969999,22.59462,5351700,17
2019-04-16,24.226999,24.5,23.6,23.91,22.538065,2509100,18
2019-04-17,23.82,23.959999,23.440001,23.450001,22.104456,941700,19
2019-04-18,23.450001,24.34,23.33,23.790001,22.424952,2058600,20
2019-04-22,23.809999,23.91,22.77,22.82,21.510612,1735000,21
2019-04-23,22.9,22.969999,22.15,22.190001,20.916759,2226400,22
2019-04-24,22.27,22.6,21.84,22.4,21.114706,1342100,23
2019-04-25,22.4,22.504999,21.879999,22.33,21.048723,1104700,24
2019-04-26,22.4,22.93,22.059999,22.790001,21.48233,1159300,25
2019-04-29,23.040001,23.26,22.790001,23.190001,21.859377,835300,26
2019-04-30,23.370001,23.43,22.41,22.41,21.124134,1036000,27
2019-05-01,22.450001,22.65,22.18,22.629999,21.331509,1335100,28
2019-05-02,22.48,22.969999,22.33,22.92,21.604872,954600,29
2019-05-03,22.99,23.059999,22.379999,22.610001,21.312658,1211000,30
2019-05-06,22.299999,22.75,22.190001,22.690001,21.388065,682800,31
2019-05-07,22.440001,22.879999,22.42,22.83,21.520033,1209400,32
2019-05-08,22.610001,22.889999,22.57,22.6,21.303234,678000,33
2019-05-09,22.51,22.629999,22.309999,22.48,21.190117,598300,34
2019-05-10,22.299999,22.540001,22.23,22.379999,21.095852,727100,35
2019-05-13,22,22.120001,21.799999,21.98,20.718807,1053000,36
2019-05-14,22.209999,22.65,22,22.379999,21.095852,826100,37
2019-05-15,22.5,22.620001,22.040001,22.1,20.831921,534500,38
2019-05-16,22.16,22.35,21.959999,21.969999,20.709379,832900,39
2019-05-17,21.889999,22.34,21.799999,21.950001,20.690531,533800,40
2019-05-20,21.809999,22.07,21.74,22.02,20.756512,473600,41
2019-05-21,22,22.290001,21.889999,22.25,20.973314,371500,42
2019-05-22,22.059999,22.48,22.059999,22.4,21.114706,381800,43
2019-05-23,22.25,22.49,22.094,22.139999,20.869625,660100,44
2019-05-24,22.25,22.42,21.783001,22.059999,20.794216,1182800,45
2019-05-28,22,22.200001,21.754999,21.99,20.728235,668100,46
2019-05-29,21.790001,21.819,21,21.280001,20.058973,1541700,47
2019-05-30,21.110001,21.33,20.41,20.790001,19.59709,1893900,48
2019-05-31,20.540001,20.559999,18.92,19.42,18.3057,3355800,49
2019-06-03,19.43,20.790001,19.375,20.629999,19.446264,1185500,50
2019-06-04,20.84,22.08,20.809999,21.48,20.247498,2092900,51
2019-06-05,21.51,21.549999,20.700001,21.33,20.106102,784500,52
2019-06-06,21.209999,21.385,20.450001,20.82,19.625366,782200,53
2019-06-07,20.799999,21.09,20.4,20.969999,19.766758,714000,54
2019-06-10,21.190001,22.110001,21.190001,21.65,20.40774,577300,55
2019-06-11,21.76,21.879999,20.82,20.91,19.710203,485900,56
2019-06-12,20.950001,21.129999,20.5,20.629999,19.446264,736400,57
2019-06-13,20.73,21.540001,20.700001,21.18,19.964712,478500,58
2019-06-14,21.01,21.889999,21,21.49,20.256926,708000,59
2019-06-17,21.57,22.25,21.5,21.83,20.577414,1047400,60
2019-06-18,21.870001,22.139999,21.639999,21.76,20.511429,628900,61
2019-06-19,21.98,22.465,21.75,22.309999,21.029871,729900,62
2019-06-20,22.450001,22.469999,21.35,21.780001,20.530279,1181700,63
2019-06-21,21.77,21.940001,21.48,21.76,20.511429,2399300,64
2019-06-24,21.65,22.030001,20.9,21.059999,19.851595,788200,65
2019-06-25,21.129999,21.450001,20.75,20.75,19.559383,925800,66
2019-06-26,21.15,21.469999,20.450001,20.709999,19.521679,2299200,67
2019-06-27,20.68,21.18,20.68,21.07,19.861019,948600,68
2019-06-28,21.1,21.290001,20.700001,20.879999,19.681923,699100,69
